QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,EQC1_max,EQC1_min,EQC1_avg,EQC1_stdev,EQC1_range,EQC2_max,EQC2_min,EQC2_avg,EQC2_stdev,EQC2_range,EQC3_max,EQC3_min,EQC3_avg,EQC3_stdev,EQC3_range,EQC4_max,EQC4_min,EQC4_avg,EQC4_stdev,EQC4_range,EQC5_max,EQC5_min,EQC5_avg,EQC5_stdev,EQC5_range,EQC6_max,EQC6_min,EQC6_avg,EQC6_stdev,EQC6_range,EQC7_max,EQC7_min,EQC7_avg,EQC7_stdev,EQC7_range,EQC8_max,EQC8_min,EQC8_avg,EQC8_stdev,EQC8_range,EQC9_max,EQC9_min,EQC9_avg,EQC9_stdev,EQC9_range,EQC10_max,EQC10_min,EQC10_avg,EQC10_stdev,EQC10_range,EQC11_max,EQC11_min,EQC11_avg,EQC11_stdev,EQC11_range,EQC12_max,EQC12_min,EQC12_avg,EQC12_stdev,EQC12_range,EQC13_max,EQC13_min,EQC13_avg,EQC13_stdev,EQC13_range,EQC14_max,EQC14_min,EQC14_avg,EQC14_stdev,EQC14_range,EQC15_max,EQC15_min,EQC15_avg,EQC15_stdev,EQC15_range,EQC16_max,EQC16_min,EQC16_avg,EQC16_stdev,EQC16_range,EQC17_max,EQC17_min,EQC17_avg,EQC17_stdev,EQC17_range,EQC18_max,EQC18_min,EQC18_avg,EQC18_stdev,EQC18_range
1853.6,1825,1814.6,1817.4,1833.2,1844.1,1872.2,1841.4,1847.6,1186.52,1142.58,43.94,1168.249,6.483775,151.367,122.07,29.297,138.9504,6.066676,527.344,511.475,15.869,519.2456,2.572211,2.45606,2.41699,0.03907,2.437476,0.006330419,72.6563,72.3633,0.293,72.51519,0.05181293,33.3496,33.0078,0.3418,33.1874,0.05952635,20.3613,19.9707,0.3906,20.18978,0.06182162,9541.02,9482.42,58.6,9516.571,12.11663,9560.55,9482.42,78.13,9520.906,11.93295,498.048,263.67,234.378,390.1368,35.41015,48.83,-146.485,195.315,-42.46195,28.66337,-19.531,-58.594,39.063,-39.66591,6.236583,2304.69,2167.97,136.72,2243.942,25.46231,218.262,206.543,11.719,211.79,1.827533,401,398.7,2.3,400.0239,0.6041534,400.2,399.8,0.4,399.9898,0.1001175,400.1,399.8,0.3,399.98,0.07328011,400.3,399.9,0.4,400.0302,0.0849289
1900.2,1886.8,1881.4,1916.5,1924.5,1953.7,1918.4,1992.8,1906,1186.52,1147.46,39.06,1168.317,6.765799,151.367,117.188,34.179,139.2971,6.170157,527.344,510.254,17.09,519.4738,2.487655,2.45117,2.42676,0.02441,2.435078,0.006179667,72.7051,72.3144,0.3907,72.55303,0.05167898,33.3496,32.959,0.3906,33.16059,0.0609112,20.2637,19.9219,0.3418,20.09654,0.06240618,9550.78,9482.42,68.36,9518.192,11.65678,9560.55,9482.42,78.13,9522.215,11.96461,556.638,292.968,263.67,393.2387,36.67403,24.415,-122.07,146.485,-40.93003,28.48525,-19.531,-58.594,39.063,-39.2207,6.543245,2324.22,2167.97,156.25,2244.939,26.02325,216.797,206.543,10.254,211.9584,1.870475,400.9,398.5,2.4,399.9929,0.6016898,400.2,399.8,0.4,399.9737,0.08250163,400.2,399.8,0.4,399.9796,0.1065833,400.3,399.9,0.4,400.0322,0.09698728
1989.7,1965.2,1948.5,1936.4,1970.1,1983.4,2026.4,1961.9,2026.2,1191.41,1142.58,48.83,1168.234,6.623523,161.133,122.07,39.063,140.3954,6.479319,528.564,513.916,14.648,522.6044,2.554419,2.45606,2.41699,0.03907,2.439429,0.006537309,72.6563,72.3633,0.293,72.51518,0.05247985,33.3496,32.959,0.3906,33.16115,0.05900345,20.5078,20.0684,0.4394,20.2848,0.06428766,9550.78,9482.42,68.36,9517.498,11.81723,9560.55,9482.42,78.13,9520.605,11.81123,527.346,205.08,322.266,333.3663,36.8024,24.415,-122.07,146.485,-43.22194,29.47277,-24.414,-63.477,39.063,-40.07995,6.523268,2324.22,2167.97,156.25,2254.815,25.56571,216.797,206.543,10.254,212.5499,1.878985,401.1,398.7,2.4,400.0014,0.6274037,400.3,399.8,0.5,400.05,0.1177711,400.1,399.8,0.3,399.9953,0.084873,400.2,399.7,0.5,399.9985,0.1203286
2011.9,1925.7,1917.4,1904.5,1897.4,1932.7,1939.3,1974,1936.1,1191.41,1142.58,48.83,1168.142,6.735419,156.25,122.07,34.18,139.2564,6.148876,532.227,517.578,14.649,524.5214,2.352606,2.46094,2.42188,0.03906,2.444813,0.006405241,72.9492,72.0215,0.9277,72.78802,0.06103161,33.4473,32.8613,0.586,33.05836,0.06112967,20.3613,20.0195,0.3418,20.18883,0.06241497,9550.78,9482.42,68.36,9518.436,11.72878,9580.08,9492.19,87.89,9527.299,12.00985,585.936,292.968,292.968,397.2891,36.57457,48.83,-146.485,195.315,-41.1699,28.92696,-24.414,-58.594,34.18,-39.63773,6.2386,2343.75,2167.97,175.78,2246.456,24.51174,218.262,206.543,11.719,211.9035,1.845943,400.8,398.8,2,399.9934,0.5193785,400.1,399.8,0.3,399.9757,0.1162499,400.2,399.8,0.4,399.9772,0.1430597,400.2,399.7,0.5,399.9761,0.157659
1908.9,1919.3,1953.8,1890.5,1943.7,1932.6,1911.6,1883.4,1878.7,1186.52,1142.58,43.94,1167.708,6.772366,151.367,122.07,29.297,139.1507,6.016558,529.785,515.137,14.648,522.3704,2.513245,2.45606,2.42188,0.03418,2.438259,0.006529371,72.5098,71.875,0.6348,72.34957,0.05551198,33.4961,33.0078,0.4883,33.17301,0.05914861,20.2637,19.8242,0.4395,20.09206,0.06223884,9550.78,9482.42,68.36,9518.675,11.54636,9560.55,9482.42,78.13,9521.367,11.3763,556.638,263.67,292.968,388.0418,35.15921,24.415,-146.485,170.9,-45.46945,28.89715,-19.531,-58.594,39.063,-39.46961,6.442354,2324.22,2167.97,156.25,2243.833,26.74296,218.262,206.543,11.719,211.9203,1.737939,400.9,398.6,2.3,399.9822,0.5759418,400.1,399.9,0.2,400.0004,0.07603054,400.2,399.8,0.4,399.9585,0.1186121,400.3,399.9,0.4,400.0163,0.09094028
1877.3,1870.6,1859.7,1854.7,1888.1,1894.9,1927.7,1891.4,1965.4,1191.41,1142.58,48.83,1168.888,6.516994,161.133,122.07,39.063,139.3492,6.307703,528.564,510.254,18.31,520.1587,2.539353,2.46094,2.42188,0.03906,2.438941,0.006220375,72.6074,72.3144,0.293,72.49296,0.05343539,33.3008,32.959,0.3418,33.15367,0.06187604,20.4102,19.9707,0.4395,20.19109,0.06384182,9550.78,9482.42,68.36,9518.867,11.79778,9560.55,9482.42,78.13,9522.859,11.44951,585.936,292.968,292.968,390.6061,35.85364,24.415,-146.485,170.9,-43.9364,29.66877,-19.531,-58.594,39.063,-39.65169,6.331808,2304.69,2167.97,136.72,2245.083,24.67548,216.797,205.078,11.719,211.9126,1.894297,400.8,398.6,2.2,399.9922,0.5609299,400.2,399.9,0.3,399.9926,0.08728187,400.2,399.8,0.4,399.9821,0.07378133,400.2,399.9,0.3,400.0323,0.09468744
1908.1,1891.1,1869,1859.8,1896.6,1905.6,1946.1,1882.9,1934.2,1186.52,1147.46,39.06,1168.419,6.642221,156.25,117.188,39.062,139.102,6.164863,528.564,512.695,15.869,520.6797,2.51964,2.45606,2.41699,0.03907,2.438751,0.006314451,72.7051,72.4121,0.293,72.55719,0.05429685,33.3008,32.959,0.3418,33.13743,0.05941993,20.3613,19.9707,0.3906,20.19431,0.06183116,9550.78,9482.42,68.36,9518.613,11.7754,9560.55,9482.42,78.13,9521.823,11.80604,527.346,263.67,263.676,393.505,37.37727,48.83,-146.485,195.315,-42.51068,27.73643,-19.531,-58.594,39.063,-39.21054,6.400911,2324.22,2167.97,156.25,2246.286,25.9598,218.262,206.543,11.719,212.6751,1.877639,400.9,398.6,2.3,399.9859,0.5566601,400.4,399.8,0.6,400.0359,0.1459706,400.2,399.8,0.4,399.9445,0.1264964,400.3,399.8,0.5,400.0121,0.1383107
1918.4,1903.4,1881.9,1873.3,1908.8,1919,1958.8,1895.8,1947,1186.52,1142.58,43.94,1168.094,6.800589,156.25,117.188,39.062,138.9046,6.435538,527.344,512.695,14.649,520.4067,2.472327,2.45606,2.41699,0.03907,2.438705,0.006354754,72.7051,72.3633,0.3418,72.54128,0.05332376,33.3496,33.0078,0.3418,33.18585,0.06084355,20.3125,20.0195,0.293,20.1909,0.05828575,9550.78,9482.42,68.36,9518.27,11.90872,9560.55,9492.19,68.36,9522.023,11.60241,498.048,263.67,234.378,395.905,34.62033,24.415,-122.07,146.485,-40.97459,28.48149,-24.414,-58.594,34.18,-39.56897,6.462194,2324.22,2148.44,175.78,2243.679,26.58805,216.797,206.543,10.254,211.8899,1.870134,400.9,398.6,2.3,399.9864,0.5734593,400.1,399.8,0.3,399.9795,0.08767112,400.2,399.8,0.4,399.9899,0.09515515,400.3,399.9,0.4,400.0171,0.1079742
1880.8,1848.6,1836.5,1838.6,1855.9,1864.9,1897.9,1864.3,1866.7,1186.52,1147.46,39.06,1168.378,6.637558,161.133,122.07,39.063,138.8612,6.20605,527.344,512.695,14.649,519.9592,2.478949,2.46582,2.42188,0.04394,2.445422,0.006226339,72.7539,72.4121,0.3418,72.58296,0.05431871,33.3496,33.0078,0.3418,33.19874,0.06091227,20.3613,19.9707,0.3906,20.19051,0.06443647,9550.78,9482.42,68.36,9517.999,12.00637,9560.55,9492.19,68.36,9526.704,11.7842,556.638,263.67,292.968,371.9463,37.46938,48.83,-146.485,195.315,-45.49305,29.24789,-19.531,-58.594,39.063,-39.91907,6.556945,2324.22,2167.97,156.25,2254.274,26.00646,218.262,206.543,11.719,212.6614,1.893406,400.8,398.6,2.2,399.969,0.6000709,400.2,399.8,0.4,400.0054,0.1006748,400.1,399.9,0.2,399.9798,0.07197354,400.3,399.9,0.4,400.0089,0.1047744
1911.9,1881.3,1873.1,1873.5,1890.1,1899.8,1930.5,1897.3,1902.7,1186.52,1147.46,39.06,1168.331,6.486775,161.133,117.188,43.945,139.0339,5.907872,527.344,512.695,14.649,520.1872,2.331482,2.45606,2.42188,0.03418,2.437822,0.006402033,72.7539,72.4121,0.3418,72.56093,0.05204882,33.3496,33.0078,0.3418,33.18737,0.06209033,20.3613,20.0195,0.3418,20.18823,0.06055369,9550.78,9482.42,68.36,9516.979,11.93229,9550.78,9492.19,58.59,9521.201,12.12518,527.346,263.67,263.676,375.4242,36.37127,24.415,-146.485,170.9,-44.20337,29.59438,-14.648,-58.594,43.946,-39.73505,6.657062,2324.22,2167.97,156.25,2255.993,24.8915,218.262,206.543,11.719,212.6226,1.934935,400.8,398.6,2.2,399.9789,0.5505035,400.2,399.8,0.4,399.9914,0.1012356,400.2,399.8,0.4,399.9762,0.1187199,400.2,399.8,0.4,400.018,0.1142333
